Source;Target;id;Type;label;weight
283;343;434;Undirected;8;8
283;347;435;Undirected;8;8
283;348;436;Undirected;8;8
283;349;437;Undirected;8;8
283;350;438;Undirected;8;8
283;357;439;Undirected;8;8
283;368;440;Undirected;8;8
290;355;441;Undirected;3;3
291;399;442;Undirected;4;4
293;294;443;Undirected;6;6
293;303;444;Undirected;4;4
293;325;445;Undirected;6;6
293;386;446;Undirected;6;6
294;325;447;Undirected;6;6
294;342;448;Undirected;6;6
294;378;449;Undirected;6;6
295;299;450;Undirected;7;7
295;395;451;Undirected;6;6
296;320;452;Undirected;6;6
296;352;453;Undirected;6;6
296;367;454;Undirected;6;6
297;392;455;Undirected;6;6
300;403;456;Undirected;4;4
302;390;457;Undirected;6;6
303;305;458;Undirected;4;4
303;306;459;Undirected;4;4
313;369;460;Undirected;10;10
316;409;461;Undirected;5;5
320;352;462;Undirected;6;6
320;367;463;Undirected;6;6
324;325;464;Undirected;6;6
324;344;465;Undirected;6;6
325;342;466;Undirected;6;6
325;344;467;Undirected;6;6
325;351;468;Undirected;8;8
325;378;469;Undirected;6;6
325;386;470;Undirected;6;6
326;343;471;Undirected;8;8
326;347;472;Undirected;8;8
326;348;473;Undirected;8;8
326;349;474;Undirected;10;10
326;350;475;Undirected;8;8
326;357;476;Undirected;8;8
326;368;477;Undirected;8;8
330;382;478;Undirected;3;3
333;375;479;Undirected;6;6
333;405;480;Undirected;6;6
335;409;481;Undirected;5;5
336;369;482;Undirected;10;10
342;378;483;Undirected;6;6
343;346;484;Undirected;7;7
343;347;485;Undirected;8;8
343;348;486;Undirected;10;10
343;349;487;Undirected;8;8
343;350;488;Undirected;8;8
343;357;489;Undirected;8;8
343;368;490;Undirected;10;10
347;348;491;Undirected;8;8
347;349;492;Undirected;8;8
347;350;493;Undirected;8;8
347;357;494;Undirected;8;8
347;368;495;Undirected;8;8
348;349;496;Undirected;8;8
348;350;497;Undirected;8;8
348;357;498;Undirected;8;8
348;368;499;Undirected;10;10
349;350;500;Undirected;8;8
349;357;501;Undirected;8;8
349;368;502;Undirected;8;8
350;357;503;Undirected;8;8
350;368;504;Undirected;8;8
352;367;505;Undirected;6;6
355;398;506;Undirected;3;3
356;365;507;Undirected;13;13
357;368;508;Undirected;8;8
357;373;509;Undirected;6;6
369;396;510;Undirected;8;8
375;405;511;Undirected;8;8
377;399;512;Undirected;4;4
380;412;513;Undirected;6;6
384;386;514;Undirected;4;4
398;399;515;Undirected;4;4
400;408;516;Undirected;8;8
